date,open,high,low,close,adjusted_close,volume
2024-02-01,183.99,187.33,179.25,185.85,184.944,167403400
2024-02-05,188.15,191.05,185.84,188.85,188.1691,252715800
2024-02-12,188.42,188.67,181.35,182.31,181.6527,268077800
2024-02-20,181.79,185.04,180.0,182.52,181.862,192607200
2024-02-26,182.24,183.92,177.38,179.66,179.0123,354310800
2024-03-04,176.15,176.9,168.49,170.73,170.1145,393109900
2024-03-11,172.94,174.38,170.29,172.62,171.9977,367031800
2024-03-18,175.57,178.67,170.06,172.28,171.6589,361530400
2024-03-25,170.57,173.6,169.45,171.48,170.8618,237622700
2024-04-01,171.19,171.92,168.23,169.58,168.9686,239021300
2024-04-08,169.03,178.36,167.11,176.55,175.9135,322249600
2024-04-15,175.36,176.63,164.08,165.0,164.4051,309039200
2024-04-22,165.52,171.34,164.77,169.3,168.6896,241302700
2024-04-29,173.37,187.0,169.11,183.38,182.7189,441926300
2024-05-06,182.35,185.09,180.42,183.05,182.6374,300675100
2024-05-13,185.44,191.1,184.62,189.87,189.4421,288966500
2024-05-20,189.33,192.82,186.63,189.98,189.5518,208619700
2024-05-28,191.51,193.0,189.1,192.25,191.8167,230454300
2024-06-03,192.9,196.94,192.52,196.89,196.4462,245994400
