date,open,high,low,close,adjusted_close,volume
2024-02-01,401.83,412.65,401.8,411.22,408.1678,58902700
2024-02-05,409.9,420.82,402.91,420.55,417.4285,109333500
2024-02-12,420.56,420.74,403.39,404.06,401.8026,113535600
2024-02-20,403.24,415.86,397.22,410.34,408.0475,86244800
2024-02-26,411.46,415.87,403.85,415.5,413.1787,93960000
2024-03-04,413.44,417.35,398.39,406.22,403.9505,103549500
2024-03-11,403.76,427.82,401.26,416.42,414.0935,134900800
2024-03-18,414.25,430.82,413.78,428.74,426.3447,96736700
2024-03-25,425.24,427.41,419.01,420.72,418.3695,73362300
2024-04-01,423.95,428.67,417.57,425.52,423.1427,86645500
2024-04-08,425.17,429.37,419.7,421.9,419.5429,80199800
2024-04-15,426.6,426.82,397.77,399.12,396.8902,104201000
2024-04-22,400.08,413.0,388.03,406.32,404.05,121367900
2024-04-29,405.25,407.15,389.17,406.66,404.3881,107082100
2024-05-06,408.76,415.38,406.37,414.74,412.4229,76899100
2024-05-13,418.01,425.42,410.82,420.21,418.6161,85671300
2024-05-20,420.21,433.6,419.99,430.16,428.5283,84856600
2024-05-28,429.63,430.94,404.51,415.13,413.5553,107655200
2024-06-03,415.53,426.28,408.92,423.85,422.2422,77304600
